Date,ITUB4.SA,PETR4.SA,VALE3.SA
2021-06-04,0.22980348464701292,0.30959213466177743,0.34166918733724116
2021-06-07,0.22987250757165317,0.3043915272776462,0.3147267515558622
2021-06-08,0.23626508893669237,0.2875848001934741,0.31870358217969763
2021-06-09,0.2359151823160526,0.28808219456253653,0.32785610362659257
2021-06-10,0.23678486307154453,0.2860186865803655,0.3012370107969964
2021-06-11,0.2334099521203241,0.27824917443274516,0.28497052952440477
2021-06-14,0.22447423082151063,0.27818720989381585,0.2796297712646178
2021-06-15,0.218571879481446,0.2271878671967046,0.2816811312823496
2021-06-16,0.2224140811497068,0.22487965195819146,0.2851094099401645
2021-06-17,0.22967008022938243,0.25828153622411487,0.2885055761033534
2021-06-18,0.24494215868934843,0.25553800730407183,0.3036035474626235
2021-06-21,0.24493983550140952,0.2589023503297313,0.30396335681685854
2021-06-22,0.2527682364827098,0.25839235308754793,0.30153638080364614
2021-06-23,0.2547703362517795,0.2551589909025452,0.3053459907841748
2021-06-24,0.24988597778627908,0.23771510208431076,0.2896659063219874
2021-06-25,0.2775918909901453,0.2528929556334484,0.2759750544692955
2021-06-28,0.2791814168719977,0.2503797517052222,0.2820932261874915
2021-06-29,0.2771154166996274,0.21477236896955934,0.28739488935897917
2021-06-30,0.28024135130934497,0.21325344835152996,0.27123284455691704
2021-07-01,0.24914103125270545,0.21693915204260492,0.2739439009591296
2021-07-02,0.22111994409406174,0.20689976555678963,0.27891347967360963
2021-07-05,0.20749280971109862,0.19828782708919312,0.27240853729263953
2021-07-06,0.18251249693410276,0.24576005259093492,0.2698469243312149
2021-07-07,0.18541293137078846,0.246234975325021,0.261114276019855
2021-07-08,0.17492244860457862,0.25493363901910976,0.25370445145530257
2021-07-12,0.18757465290632402,0.2574851907566176,0.25571031482739237
2021-07-13,0.18982917369494023,0.25870088676182146,0.245762602942337
2021-07-14,0.19083605883516366,0.2583618452597588,0.24576984004287705
2021-07-15,0.19213512453728582,0.2634368272741098,0.2333334000660431
2021-07-16,0.1741516143524111,0.2650335445196444,0.2144340795877225
2021-07-19,0.17306250571372878,0.24456688837752785,0.20265704788288524
2021-07-20,0.1792042932819349,0.24894286825129266,0.18040878432601942
2021-07-21,0.1788591482571735,0.24004191662253524,0.1815415185148662
2021-07-22,0.1774812116019408,0.23807836109749408,0.17863767229564093
2021-07-23,0.17731000910664643,0.23501329369650248,0.17428049300974083
2021-07-26,0.1922342019285371,0.2532016904550065,0.18770837786117725
2021-07-27,0.16645180695287104,0.2490708277522558,0.2004276844813173
2021-07-28,0.19874087714321215,0.2622964073163102,0.210041307313709
2021-07-29,0.19628098440770347,0.2620350948988804,0.21177534486172542
2021-07-30,0.19562660418142597,0.2792155675835476,0.30038681400148026
2021-08-02,0.19587189675400513,0.2823093542135504,0.2951128587733226
2021-08-03,0.19533564072741882,0.290267856211829,0.31013452005381426
2021-08-04,0.2149789086956697,0.29556533001823476,0.30992660318465026
2021-08-05,0.21498606452145264,0.37773669721368147,0.3268117981580442
2021-08-06,0.2341503121243956,0.3750099116668093,0.3274757670581459
2021-08-09,0.22976453422009263,0.3685727072607152,0.3277725990278505
2021-08-10,0.2385816573663429,0.36765435798554025,0.3263976729621104
2021-08-11,0.24041025606823746,0.3699316337551863,0.32549870783604706
2021-08-12,0.2508241089072077,0.37107899421480733,0.32542029063589134
2021-08-13,0.2499160377842683,0.3611150574269845,0.32532828178346124
2021-08-16,0.24561258357860857,0.36883914145664876,0.32153819555834884
2021-08-17,0.24480708550974836,0.36190860401882036,0.3241422838297224
2021-08-18,0.24167365467412516,0.36304432583538304,0.3396798726699444
2021-08-19,0.2467995850169821,0.36206285176854774,0.38304597861188106
2021-08-20,0.24406182969051288,0.3619601445874377,0.38237883678061674
2021-08-23,0.2456835755973524,0.36354890744666374,0.3828399677530322
2021-08-24,0.25596998708447305,0.35892975743103483,0.3996751259835867
2021-08-25,0.2545829189835329,0.3549969298309585,0.3969669423198031
2021-08-26,0.24580711090321217,0.35209894579011375,0.378127762561232
2021-08-27,0.2526314465187408,0.3706125501951446,0.39420434701864404
2021-08-30,0.250897779254118,0.3482672874890469,0.3415436690786297
2021-08-31,0.2539474784004882,0.37352376723964364,0.34254593427613517
2021-09-01,0.25223635516892734,0.3721225456726435,0.31443398178420634
2021-09-02,0.2656744694591165,0.3683158963089981,0.31408752076635166
2021-09-03,0.2662388560871697,0.25945796792166076,0.3015975960190145
2021-09-06,0.25119522049223536,0.26011416010157185,0.3013911516340898
2021-09-08,0.29601092212476177,0.3271634279595148,0.3059666746916104
2021-09-09,0.2960370070888231,0.3370935532851402,0.3005796677354787
2021-09-10,0.2931168411100495,0.3323152331743088,0.30195700240052775
2021-09-13,0.2920807444776744,0.3520930872993323,0.30198626816791807
2021-09-14,0.2871241112287972,0.35187768849094897,0.3019389928184352
2021-09-15,0.28965743614309974,0.34980689755733596,0.3055777007048735
2021-09-16,0.28974489349424504,0.35073127283457123,0.32692055866443015
2021-09-17,0.2983427917959785,0.3822860914568002,0.31714557868800286
2021-09-20,0.30403007029855755,0.3832010763601141,0.2852545038100267
2021-09-21,0.3040917175082244,0.3937780447907829,0.2962513598309865
2021-09-22,0.31458544580683395,0.4005498850347416,0.32854444351937057
2021-09-23,0.32342860476329954,0.4167340826418821,0.29447426847743047
2021-09-24,0.3248877322777428,0.41623210408856903,0.2956764062525376
2021-09-27,0.33210103157183946,0.41682949657630647,0.303748648077489
2021-09-28,0.33228965402080707,0.39558708868348497,0.32138237561219546
2021-09-29,0.3402590700573033,0.40033372612417895,0.33025424302593226
2021-09-30,0.33583355029979955,0.37572129093968565,0.33326193528135306
2021-10-01,0.34979289880600617,0.38710383908837087,0.332562268568405
2021-10-04,0.7583139334775253,0.391390791758276,0.33218891166747944
2021-10-05,0.7672549643648108,0.3926156512125651,0.3307086139350008
2021-10-06,0.7646673255350901,0.40812539425420713,0.3520814953664491
2021-10-07,0.7525830525919677,0.3420107459197301,0.368435704110516
2021-10-08,0.7508317849060788,0.3405651127215101,0.3700752314526689
2021-10-11,0.7515642445966891,0.33745990100442846,0.3801631788465034
2021-10-13,0.7486883921171713,0.3226687571055763,0.39192008261915884
