,media_preco_final,mediana_preco_final,percentil_5,percentil_95
ITUB4.SA,50.637401569124364,49.03226242446901,33.069283848188114,73.23611186291447
PETR4.SA,72.52527785829086,68.9302241310243,40.18447800702808,117.05343094896931
VALE3.SA,81.40958171157422,78.01377066231055,47.52644139934457,128.8389417092861
