Date,ITUB4.SA,PETR4.SA,VALE3.SA
2021-05-05,17.696670532226562,6.98075008392334,66.86751556396484
2021-05-06,17.587142944335938,6.884080410003662,69.48881530761719
2021-05-07,17.799732208251953,7.141866683959961,69.73041534423828
2021-05-10,18.06386375427246,7.235607147216797,69.27137756347656
2021-05-11,18.025222778320312,7.367429256439209,71.70545959472656
2021-05-12,17.76108169555664,7.2590436935424805,69.05394744873047
2021-05-13,18.27645492553711,7.320560932159424,67.94258880615234
2021-05-14,18.68230628967285,7.704311370849609,66.77690887451172
2021-05-17,18.669437408447266,7.809770107269287,68.52847290039062
2021-05-18,18.630781173706055,7.718958377838135,69.21703338623047
2021-05-19,18.76605987548828,7.66037130355835,67.79764556884766
2021-05-20,18.869142532348633,7.595921516418457,67.1091079711914
2021-05-21,18.959327697753906,7.601783275604248,66.07627868652344
2021-05-24,18.90778923034668,7.730675220489502,66.30580139160156
2021-05-25,18.713382720947266,7.5695576667785645,64.65691375732422
2021-05-26,18.971515655517578,7.642795085906982,66.5594482421875
2021-05-27,18.81018829345703,7.590062618255615,67.03661346435547
2021-05-28,19.119924545288086,7.906437873840332,67.39900970458984
2021-05-31,19.061847686767578,7.8712873458862305,69.32574462890625
2021-06-01,19.75589370727539,7.994322299957275,68.37142181396484
2021-06-02,20.41441535949707,8.164225578308105,69.33781433105469
2021-06-04,20.84052276611328,8.34877872467041,68.19023895263672
2021-06-07,21.331193923950195,8.287260055541992,67.52584838867188
2021-06-08,21.18270492553711,8.395648002624512,66.39035034179688
2021-06-09,21.473228454589844,8.395648002624512,67.76744842529297
2021-06-10,21.3957576751709,8.401507377624512,67.5439682006836
2021-06-11,21.14396858215332,8.369282722473145,69.05997467041016
2021-06-14,21.072954177856445,8.422011375427246,68.68549346923828
2021-06-15,21.072954177856445,8.504036903381348,67.34466552734375
2021-06-16,21.492599487304688,8.536259651184082,65.3212890625
2021-06-17,21.240802764892578,8.240387916564941,63.96232604980469
2021-06-18,20.853435516357422,8.296048164367676,65.88905334472656
2021-06-21,20.950281143188477,8.480602264404297,66.50511169433594
2021-06-22,20.67911720275879,8.524541854858398,67.28426361083984
2021-06-23,20.53063201904297,8.583127975463867,68.29292297363281
2021-06-24,20.53708267211914,8.68565845489502,68.38509368896484
2021-06-25,19.885019302368164,8.524541854858398,69.2289047241211
2021-06-28,19.659042358398438,8.509896278381348,68.1202621459961
2021-06-29,19.465364456176758,8.54797649383545,69.29664611816406
2021-06-30,19.23938751220703,8.621213912963867,69.75243377685547
2021-07-01,19.17802619934082,8.512823104858398,68.53909301757812
2021-07-02,19.38472557067871,8.54797649383545,69.95567321777344
2021-07-05,19.11989402770996,8.451305389404297,69.70315551757812
2021-07-06,19.087608337402344,8.105636596679688,70.07271575927734
2021-07-07,19.17156982421875,8.216954231262207,70.27597045898438
2021-07-08,18.91965103149414,8.052908897399902,70.00495147705078
2021-07-12,19.17802619934082,8.123214721679688,70.8733901977539
2021-07-13,19.294292449951172,8.173014640808105,71.29222106933594
2021-07-14,19.320131301879883,8.105636596679688,70.9041976928711
2021-07-15,19.087608337402344,7.932804107666016,71.12591552734375
2021-07-16,18.777542114257812,7.815627574920654,69.8448257446289
2021-07-19,18.667739868164062,7.686734676361084,69.08108520507812
2021-07-20,18.913188934326172,7.789261341094971,69.66004943847656
2021-07-21,18.99070167541504,7.897651672363281,70.46073150634766
2021-07-22,18.796913146972656,7.880074501037598,70.6455078125
2021-07-23,18.745241165161133,7.833204746246338,70.28828430175781
2021-07-26,19.074676513671875,8.047050476074219,71.81575012207031
2021-07-27,19.262008666992188,7.953310966491699,70.32524108886719
2021-07-28,19.888561248779297,8.117356300354004,72.24690246582031
2021-07-29,19.78522300720215,8.146649360656738,71.18135833740234
2021-07-30,19.572053909301758,7.883003234863281,66.98696899414062
2021-08-02,19.691614151000977,7.736533164978027,67.09168243408203
2021-08-03,19.8854923248291,7.8654279708862305,69.3767318725586
2021-08-04,19.329696655273438,7.698452949523926,69.30281066894531
2021-08-05,19.387868881225586,8.304838180541992,67.18406677246094
2021-08-06,19.93073081970215,8.316555976867676,67.56592559814453
2021-08-09,20.16339111328125,8.257966041564941,67.14095306396484
2021-08-10,19.78209114074707,8.284332275390625,67.78766632080078
2021-08-11,20.001811981201172,8.398577690124512,67.30109405517578
2021-08-12,19.626991271972656,8.524541854858398,67.25798034667969
2021-08-13,19.8919620513916,8.597776412963867,66.70365142822266
2021-08-16,19.673974990844727,8.389788627624512,67.01161193847656
2021-08-17,19.60264015197754,8.389761924743652,65.90296173095703
2021-08-18,19.64154052734375,8.315271377563477,63.691829681396484
2021-08-19,19.388648986816406,8.268712043762207,60.057918548583984
2021-08-20,19.317325592041016,8.256294250488281,60.082557678222656
2021-08-23,19.524829864501953,8.386659622192383,59.25107192993164
2021-08-24,20.069515228271484,8.560473442077637,61.412933349609375
2021-08-25,20.095462799072266,8.60703182220459,61.28358459472656
2021-08-26,19.609119415283203,8.532541275024414,60.501373291015625
2021-08-27,19.946317672729492,8.842925071716309,62.016544342041016
2021-08-30,19.80365753173828,8.783953666687012,61.622352600097656
2021-08-31,20.063032150268555,8.439423561096191,60.77854537963867
2021-09-01,20.150623321533203,8.392867088317871,60.88324737548828
2021-09-02,19.424013137817383,8.256294250488281,60.69231414794922
2021-09-03,19.313718795776367,8.172491073608398,60.73542404174805
2021-09-06,19.560253143310547,8.212841033935547,59.78076934814453
2021-09-08,18.63251495361328,7.750364780426025,58.5366096496582
2021-09-09,18.87904930114746,7.914870262145996,58.32719421386719
2021-09-10,18.690906524658203,7.865209102630615,58.39494323730469
2021-09-13,18.924453735351562,8.141451835632324,58.364166259765625
