Ticker,ITUB4.SA,PETR4.SA,VALE3.SA
ITUB4.SA,1.0,0.257389210673392,0.21669146898684788
PETR4.SA,0.257389210673392,1.0,0.2178328231349632
VALE3.SA,0.21669146898684788,0.2178328231349632,1.0
