,media_preco_final,mediana_preco_final,percentil_5,percentil_95
ITUB4.SA,50.63740609358191,49.032270782580454,33.06930630646656,73.23608640020102
PETR4.SA,72.52527615058789,68.93022253556234,40.184460514411455,117.05345883163766
VALE3.SA,81.40958160893173,78.01377175314039,47.52644718164043,128.8389284346912
